question,ground_truth
Ai chịu trách nhiệm xét tốt nghiệp đúng thời hạn và đúng đối tượng?,"Hội đồng xét tốt nghiệp chịu trách nhiệm xét tốt nghiệp đúng thời hạn, đúng đối tượng và đề nghị hiệu trưởng công nhận những SV đủ điều kiện tốt nghiệp."
Ai chịu trách nhiệm xét tốt nghiệp đúng thời hạn và đúng đối tượng?,"Hội đồng xét tốt nghiệp chịu trách nhiệm xét tốt nghiệp đúng thời hạn, đúng đối tượng và đề nghị hiệu trưởng công nhận những SV đủ điều kiện tốt nghiệp."
Ai chịu trách nhiệm xét tốt nghiệp đúng thời hạn và đúng đối tượng?,"Hội đồng xét tốt nghiệp chịu trách nhiệm xét tốt nghiệp đúng thời hạn, đúng đối tượng và đề nghị hiệu trưởng công nhận những SV đủ điều kiện tốt nghiệp."
Ai chịu trách nhiệm xét tốt nghiệp đúng thời hạn và đúng đối tượng?,"Hội đồng xét tốt nghiệp chịu trách nhiệm xét tốt nghiệp đúng thời hạn, đúng đối tượng và đề nghị hiệu trưởng công nhận những SV đủ điều kiện tốt nghiệp."
Ai chịu trách nhiệm xét tốt nghiệp đúng thời hạn và đúng đối tượng?,"Hội đồng xét tốt nghiệp chịu trách nhiệm xét tốt nghiệp đúng thời hạn, đúng đối tượng và đề nghị hiệu trưởng công nhận những SV đủ điều kiện tốt nghiệp."
Ai chịu trách nhiệm xét tốt nghiệp đúng thời hạn và đúng đối tượng?,"Hội đồng xét tốt nghiệp chịu trách nhiệm xét tốt nghiệp đúng thời hạn, đúng đối tượng và đề nghị hiệu trưởng công nhận những SV đủ điều kiện tốt nghiệp."
Ai có quyền quyết định khen thưởng cho sinh viên trúng tuyển vào trường Đại học Cần Thơ?,Sinh viên trúng tuyển vào trường Đại học Cần Thơ có điểm cao sẽ được khen thưởng theo quyết định của hiệu trưởng.
Ai có quyền quyết định khen thưởng cho sinh viên trúng tuyển vào trường Đại học Cần Thơ?,Sinh viên trúng tuyển vào trường Đại học Cần Thơ có điểm cao sẽ được khen thưởng theo quyết định của hiệu trưởng.
Ai có quyền quyết định khen thưởng cho sinh viên trúng tuyển vào trường Đại học Cần Thơ?,Sinh viên trúng tuyển vào trường Đại học Cần Thơ có điểm cao sẽ được khen thưởng theo quyết định của hiệu trưởng.
Ai có quyền quyết định khen thưởng cho sinh viên trúng tuyển vào trường Đại học Cần Thơ?,Sinh viên trúng tuyển vào trường Đại học Cần Thơ có điểm cao sẽ được khen thưởng theo quyết định của hiệu trưởng.
Ai có quyền quyết định khen thưởng cho sinh viên trúng tuyển vào trường Đại học Cần Thơ?,Sinh viên trúng tuyển vào trường Đại học Cần Thơ có điểm cao sẽ được khen thưởng theo quyết định của hiệu trưởng.
Ai có quyền quyết định khen thưởng cho sinh viên trúng tuyển vào trường Đại học Cần Thơ?,Sinh viên trúng tuyển vào trường Đại học Cần Thơ có điểm cao sẽ được khen thưởng theo quyết định của hiệu trưởng.
Ai có quyền quyết định thành lập ban quản lý chương trình đào tạo chất lượng cao và chương trình đào tạo tiên tiến?,Hiệu trưởng ban hành quyết định thành lập.
Ai có quyền quyết định thành lập ban quản lý chương trình đào tạo chất lượng cao và chương trình đào tạo tiên tiến?,Hiệu trưởng ban hành quyết định thành lập.
Ai có quyền quyết định thành lập ban quản lý chương trình đào tạo chất lượng cao và chương trình đào tạo tiên tiến?,Hiệu trưởng ban hành quyết định thành lập.
Ai có quyền quyết định thành lập ban quản lý chương trình đào tạo chất lượng cao và chương trình đào tạo tiên tiến?,Hiệu trưởng ban hành quyết định thành lập.
Ai có quyền quyết định thành lập ban quản lý chương trình đào tạo chất lượng cao và chương trình đào tạo tiên tiến?,Hiệu trưởng ban hành quyết định thành lập.
Ai có quyền quyết định thành lập ban quản lý chương trình đào tạo chất lượng cao và chương trình đào tạo tiên tiến?,Hiệu trưởng ban hành quyết định thành lập.
Ai có quyền quyết định trường hợp đặc biệt liên quan đến kinh phí?,Trong trường hợp đặc biệt do hiệu trưởng quyết định.
Ai có quyền quyết định trường hợp đặc biệt liên quan đến kinh phí?,Trong trường hợp đặc biệt do hiệu trưởng quyết định.
Ai có quyền quyết định trường hợp đặc biệt liên quan đến kinh phí?,Trong trường hợp đặc biệt do hiệu trưởng quyết định.
Ai có quyền quyết định trường hợp đặc biệt liên quan đến kinh phí?,Trong trường hợp đặc biệt do hiệu trưởng quyết định.
Ai có quyền quyết định trường hợp đặc biệt liên quan đến kinh phí?,Trong trường hợp đặc biệt do hiệu trưởng quyết định.
Ai có quyền quyết định trường hợp đặc biệt liên quan đến kinh phí?,Trong trường hợp đặc biệt do hiệu trưởng quyết định.
Ai có quyền quyết định về thời hạn học tập ở nước ngoài trong trường hợp đặc biệt?,Trường hợp khác do khoa đề xuất trình ban giám hiệu xem xét quyết định.
Ai có quyền quyết định về thời hạn học tập ở nước ngoài trong trường hợp đặc biệt?,Trường hợp khác do khoa đề xuất trình ban giám hiệu xem xét quyết định.
Ai có quyền quyết định về thời hạn học tập ở nước ngoài trong trường hợp đặc biệt?,Trường hợp khác do khoa đề xuất trình ban giám hiệu xem xét quyết định.
Ai có quyền quyết định về thời hạn học tập ở nước ngoài trong trường hợp đặc biệt?,Trường hợp khác do khoa đề xuất trình ban giám hiệu xem xét quyết định.
Ai có quyền quyết định về thời hạn học tập ở nước ngoài trong trường hợp đặc biệt?,Trường hợp khác do khoa đề xuất trình ban giám hiệu xem xét quyết định.
Ai có quyền quyết định về thời hạn học tập ở nước ngoài trong trường hợp đặc biệt?,Trường hợp khác do khoa đề xuất trình ban giám hiệu xem xét quyết định.
Ai có thể trở thành trợ giảng theo quy định?,"Nghiên cứu sinh, học viên cao học, sinh viên giỏi tốt nghiệp CTĐTCLC và CTĐTTT có thể được xem xét mời tham gia hoạt động trợ giảng."
Ai có thể trở thành trợ giảng theo quy định?,"Nghiên cứu sinh, học viên cao học, sinh viên giỏi tốt nghiệp CTĐTCLC và CTĐTTT có thể được xem xét mời tham gia hoạt động trợ giảng."
Ai có thể trở thành trợ giảng theo quy định?,"Nghiên cứu sinh, học viên cao học, sinh viên giỏi tốt nghiệp CTĐTCLC và CTĐTTT có thể được xem xét mời tham gia hoạt động trợ giảng."
Ai có thể trở thành trợ giảng theo quy định?,"Nghiên cứu sinh, học viên cao học, sinh viên giỏi tốt nghiệp CTĐTCLC và CTĐTTT có thể được xem xét mời tham gia hoạt động trợ giảng."
Ai có thể trở thành trợ giảng theo quy định?,"Nghiên cứu sinh, học viên cao học, sinh viên giỏi tốt nghiệp CTĐTCLC và CTĐTTT có thể được xem xét mời tham gia hoạt động trợ giảng."
Ai có thể trở thành trợ giảng theo quy định?,"Nghiên cứu sinh, học viên cao học, sinh viên giỏi tốt nghiệp CTĐTCLC và CTĐTTT có thể được xem xét mời tham gia hoạt động trợ giảng."
Ai có trách nhiệm lấy ý kiến của sinh viên về chất lượng đào tạo?,Trung tâm quản lý chất lượng phối hợp tổ đảm bảo chất lượng của đơn vị quản lý ngành ĐTCLC và ĐTTT định kỳ tổ chức lấy ý kiến của sinh viên sau mỗi học kỳ.
Ai có trách nhiệm lấy ý kiến của sinh viên về chất lượng đào tạo?,Trung tâm quản lý chất lượng phối hợp tổ đảm bảo chất lượng của đơn vị quản lý ngành ĐTCLC và ĐTTT định kỳ tổ chức lấy ý kiến của sinh viên sau mỗi học kỳ.
Ai có trách nhiệm lấy ý kiến của sinh viên về chất lượng đào tạo?,Trung tâm quản lý chất lượng phối hợp tổ đảm bảo chất lượng của đơn vị quản lý ngành ĐTCLC và ĐTTT định kỳ tổ chức lấy ý kiến của sinh viên sau mỗi học kỳ.
Ai có trách nhiệm lấy ý kiến của sinh viên về chất lượng đào tạo?,Trung tâm quản lý chất lượng phối hợp tổ đảm bảo chất lượng của đơn vị quản lý ngành ĐTCLC và ĐTTT định kỳ tổ chức lấy ý kiến của sinh viên sau mỗi học kỳ.
Ai có trách nhiệm lấy ý kiến của sinh viên về chất lượng đào tạo?,Trung tâm quản lý chất lượng phối hợp tổ đảm bảo chất lượng của đơn vị quản lý ngành ĐTCLC và ĐTTT định kỳ tổ chức lấy ý kiến của sinh viên sau mỗi học kỳ.
Ai có trách nhiệm lấy ý kiến của sinh viên về chất lượng đào tạo?,Trung tâm quản lý chất lượng phối hợp tổ đảm bảo chất lượng của đơn vị quản lý ngành ĐTCLC và ĐTTT định kỳ tổ chức lấy ý kiến của sinh viên sau mỗi học kỳ.
Ai có trách nhiệm nhập thông tin không tham gia hoạt động của sinh viên?,CVHT sẽ thực hiện nhập thông tin không tham gia hoạt động của sinh viên.
Ai có trách nhiệm nhập thông tin không tham gia hoạt động của sinh viên?,CVHT sẽ thực hiện nhập thông tin không tham gia hoạt động của sinh viên.
Ai có trách nhiệm nhập thông tin không tham gia hoạt động của sinh viên?,CVHT sẽ thực hiện nhập thông tin không tham gia hoạt động của sinh viên.
Ai có trách nhiệm nhập thông tin không tham gia hoạt động của sinh viên?,CVHT sẽ thực hiện nhập thông tin không tham gia hoạt động của sinh viên.
Ai có trách nhiệm nhập thông tin không tham gia hoạt động của sinh viên?,CVHT sẽ thực hiện nhập thông tin không tham gia hoạt động của sinh viên.
Ai có trách nhiệm nhập thông tin không tham gia hoạt động của sinh viên?,CVHT sẽ thực hiện nhập thông tin không tham gia hoạt động của sinh viên.
Ai có trách nhiệm sắp xếp để tổ chức thi cho các học phần riêng lẻ?,Giáo viên (GV) tự sắp xếp để tổ chức thi thông qua hệ thống quản lý trực tuyến của trường ĐHCT.
Ai có trách nhiệm sắp xếp để tổ chức thi cho các học phần riêng lẻ?,Giáo viên (GV) tự sắp xếp để tổ chức thi thông qua hệ thống quản lý trực tuyến của trường ĐHCT.
Ai có trách nhiệm sắp xếp để tổ chức thi cho các học phần riêng lẻ?,Giáo viên (GV) tự sắp xếp để tổ chức thi thông qua hệ thống quản lý trực tuyến của trường ĐHCT.
Ai có trách nhiệm sắp xếp để tổ chức thi cho các học phần riêng lẻ?,Giáo viên (GV) tự sắp xếp để tổ chức thi thông qua hệ thống quản lý trực tuyến của trường ĐHCT.
Ai có trách nhiệm sắp xếp để tổ chức thi cho các học phần riêng lẻ?,Giáo viên (GV) tự sắp xếp để tổ chức thi thông qua hệ thống quản lý trực tuyến của trường ĐHCT.
Ai có trách nhiệm sắp xếp để tổ chức thi cho các học phần riêng lẻ?,Giáo viên (GV) tự sắp xếp để tổ chức thi thông qua hệ thống quản lý trực tuyến của trường ĐHCT.
Ai có trách nhiệm xác nhận các sự kiện mà sinh viên tham gia?,Đơn vị tổ chức sự kiện sẽ xác nhận các sự kiện mà sinh viên tham gia.
Ai có trách nhiệm xác nhận các sự kiện mà sinh viên tham gia?,Đơn vị tổ chức sự kiện sẽ xác nhận các sự kiện mà sinh viên tham gia.
Ai có trách nhiệm xác nhận các sự kiện mà sinh viên tham gia?,Đơn vị tổ chức sự kiện sẽ xác nhận các sự kiện mà sinh viên tham gia.
Ai có trách nhiệm xác nhận các sự kiện mà sinh viên tham gia?,Đơn vị tổ chức sự kiện sẽ xác nhận các sự kiện mà sinh viên tham gia.
Ai có trách nhiệm xác nhận các sự kiện mà sinh viên tham gia?,Đơn vị tổ chức sự kiện sẽ xác nhận các sự kiện mà sinh viên tham gia.
Ai có trách nhiệm xác nhận các sự kiện mà sinh viên tham gia?,Đơn vị tổ chức sự kiện sẽ xác nhận các sự kiện mà sinh viên tham gia.
Ai cấp quyết định công nhận tốt nghiệp cho sinh viên đủ điều kiện tốt nghiệp CTĐTCLC và CTĐTTT?,Hiệu trưởng cấp quyết định công nhận tốt nghiệp.
Ai cấp quyết định công nhận tốt nghiệp cho sinh viên đủ điều kiện tốt nghiệp CTĐTCLC và CTĐTTT?,Hiệu trưởng cấp quyết định công nhận tốt nghiệp.
Ai cấp quyết định công nhận tốt nghiệp cho sinh viên đủ điều kiện tốt nghiệp CTĐTCLC và CTĐTTT?,Hiệu trưởng cấp quyết định công nhận tốt nghiệp.
Ai cấp quyết định công nhận tốt nghiệp cho sinh viên đủ điều kiện tốt nghiệp CTĐTCLC và CTĐTTT?,Hiệu trưởng cấp quyết định công nhận tốt nghiệp.
Ai cấp quyết định công nhận tốt nghiệp cho sinh viên đủ điều kiện tốt nghiệp CTĐTCLC và CTĐTTT?,Hiệu trưởng cấp quyết định công nhận tốt nghiệp.
Ai cấp quyết định công nhận tốt nghiệp cho sinh viên đủ điều kiện tốt nghiệp CTĐTCLC và CTĐTTT?,Hiệu trưởng cấp quyết định công nhận tốt nghiệp.
Ai cần tham gia vào việc xây dựng hoặc điều chỉnh đề cương chi tiết các học phần của CTĐTCLC và CTĐTTT?,"Đội ngũ giảng viên thực hiện CTĐTCLC và CTĐTTT, bộ phận đảm bảo chất lượng và lấy ý kiến đóng góp của cựu sinh viên, đại diện của các đơn vị sử dụng lao động, đại diện của các hội nghề nghiệp nếu có."
Ai cần tham gia vào việc xây dựng hoặc điều chỉnh đề cương chi tiết các học phần của CTĐTCLC và CTĐTTT?,"Đội ngũ giảng viên thực hiện CTĐTCLC và CTĐTTT, bộ phận đảm bảo chất lượng và lấy ý kiến đóng góp của cựu sinh viên, đại diện của các đơn vị sử dụng lao động, đại diện của các hội nghề nghiệp nếu có."
Ai cần tham gia vào việc xây dựng hoặc điều chỉnh đề cương chi tiết các học phần của CTĐTCLC và CTĐTTT?,"Đội ngũ giảng viên thực hiện CTĐTCLC và CTĐTTT, bộ phận đảm bảo chất lượng và lấy ý kiến đóng góp của cựu sinh viên, đại diện của các đơn vị sử dụng lao động, đại diện của các hội nghề nghiệp nếu có."
Ai cần tham gia vào việc xây dựng hoặc điều chỉnh đề cương chi tiết các học phần của CTĐTCLC và CTĐTTT?,"Đội ngũ giảng viên thực hiện CTĐTCLC và CTĐTTT, bộ phận đảm bảo chất lượng và lấy ý kiến đóng góp của cựu sinh viên, đại diện của các đơn vị sử dụng lao động, đại diện của các hội nghề nghiệp nếu có."
Ai cần tham gia vào việc xây dựng hoặc điều chỉnh đề cương chi tiết các học phần của CTĐTCLC và CTĐTTT?,"Đội ngũ giảng viên thực hiện CTĐTCLC và CTĐTTT, bộ phận đảm bảo chất lượng và lấy ý kiến đóng góp của cựu sinh viên, đại diện của các đơn vị sử dụng lao động, đại diện của các hội nghề nghiệp nếu có."
Ai cần tham gia vào việc xây dựng hoặc điều chỉnh đề cương chi tiết các học phần của CTĐTCLC và CTĐTTT?,"Đội ngũ giảng viên thực hiện CTĐTCLC và CTĐTTT, bộ phận đảm bảo chất lượng và lấy ý kiến đóng góp của cựu sinh viên, đại diện của các đơn vị sử dụng lao động, đại diện của các hội nghề nghiệp nếu có."
Ai là Tổng thống của Hoa Kỳ vào năm 2021?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống của Hoa Kỳ vào năm 2021?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống của Hoa Kỳ vào năm 2021?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống của Hoa Kỳ vào năm 2021?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống của Hoa Kỳ vào năm 2021?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống của Hoa Kỳ vào năm 2021?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Hoa Kỳ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Mỹ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Mỹ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Mỹ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Mỹ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Mỹ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
Ai là Tổng thống đầu tiên của Mỹ?,"Tôi không biết, có vẻ như câu hỏi của bạn không nằm trong nguồn kiến thức được cung cấp."
"Ai là lực lượng nòng cốt trong các phong trào văn hóa, văn nghệ, thể thao?","Cán bộ đoàn là lực lượng nòng cốt trong các phong trào văn hóa, văn nghệ, thể thao."
"Ai là lực lượng nòng cốt trong các phong trào văn hóa, văn nghệ, thể thao?","Cán bộ đoàn là lực lượng nòng cốt trong các phong trào văn hóa, văn nghệ, thể thao."
"Ai là lực lượng nòng cốt trong các phong trào văn hóa, văn nghệ, thể thao?","Cán bộ đoàn là lực lượng nòng cốt trong các phong trào văn hóa, văn nghệ, thể thao."
"Ai là lực lượng nòng cốt trong các phong trào văn hóa, văn nghệ, thể thao?","Cán bộ đoàn là lực lượng nòng cốt trong các phong trào văn hóa, văn nghệ, thể thao."
"Ai là lực lượng nòng cốt trong các phong trào văn hóa, văn nghệ, thể thao?","Cán bộ đoàn là lực lượng nòng cốt trong các phong trào văn hóa, văn nghệ, thể thao."
"Ai là lực lượng nòng cốt trong các phong trào văn hóa, văn nghệ, thể thao?","Cán bộ đoàn là lực lượng nòng cốt trong các phong trào văn hóa, văn nghệ, thể thao."
Ai là người ban hành quy định công tác học vụ dành cho sinh viên trình độ đại học hình thức chính quy?,Quyết định này được ban hành bởi hiệu trưởng trường đại học Cần Thơ.
Ai là người ban hành quy định công tác học vụ dành cho sinh viên trình độ đại học hình thức chính quy?,Quyết định này được ban hành bởi hiệu trưởng trường đại học Cần Thơ.
Ai là người ban hành quy định công tác học vụ dành cho sinh viên trình độ đại học hình thức chính quy?,Quyết định này được ban hành bởi hiệu trưởng trường đại học Cần Thơ.
Ai là người ban hành quy định công tác học vụ dành cho sinh viên trình độ đại học hình thức chính quy?,Quyết định này được ban hành bởi hiệu trưởng trường đại học Cần Thơ.
Ai là người ban hành quy định công tác học vụ dành cho sinh viên trình độ đại học hình thức chính quy?,Quyết định này được ban hành bởi hiệu trưởng trường đại học Cần Thơ.
Ai là người ban hành quy định công tác học vụ dành cho sinh viên trình độ đại học hình thức chính quy?,Quyết định này được ban hành bởi hiệu trưởng trường đại học Cần Thơ.
Ai là người ban hành quyết định thành lập hội đồng xét miễn và công nhận điểm học phần trường ĐHCT?,Hiệu trưởng ban hành quyết định thành lập hội đồng xét miễn và công nhận điểm học phần trường ĐHCT.
Ai là người ban hành quyết định thành lập hội đồng xét miễn và công nhận điểm học phần trường ĐHCT?,Hiệu trưởng ban hành quyết định thành lập hội đồng xét miễn và công nhận điểm học phần trường ĐHCT.
Ai là người ban hành quyết định thành lập hội đồng xét miễn và công nhận điểm học phần trường ĐHCT?,Hiệu trưởng ban hành quyết định thành lập hội đồng xét miễn và công nhận điểm học phần trường ĐHCT.
Ai là người ban hành quyết định thành lập hội đồng xét miễn và công nhận điểm học phần trường ĐHCT?,Hiệu trưởng ban hành quyết định thành lập hội đồng xét miễn và công nhận điểm học phần trường ĐHCT.
Ai là người ban hành quyết định thành lập hội đồng xét miễn và công nhận điểm học phần trường ĐHCT?,Hiệu trưởng ban hành quyết định thành lập hội đồng xét miễn và công nhận điểm học phần trường ĐHCT.
